2025-05-08 21:53:33,806 - INFO - Starting processing of 87 files
2025-05-08 21:55:26,032 - INFO - Starting processing of 47 files
2025-05-08 22:06:33,093 - INFO - Processed 49/49 files successfully
2025-05-08 22:10:27,545 - INFO - Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-05-08 22:22:39,289 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,290 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,290 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,290 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,290 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,290 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,290 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,291 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,291 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,291 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,291 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,291 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,291 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,292 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,292 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,292 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,292 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:22:39,292 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,118 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:25:00,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
